latitude,longitude,address,name,type,civic,city,closingDay
44.859392,7.7230191999999995,,,MEININGER Milano Garibaldi,,,
44.859392,7.7230191999999995,,,American Hotel,,,
44.859392,7.7230191999999995,,,Hotel Zone,,,
44.859392,7.7230191999999995,,,Hotel Giò Wine e Jazz Area,,,
44.859392,7.7230191999999995,,,Ristorante Buratti,,,
44.859392,7.7230191999999995,,,Parma Menù - Hostaria delle Terre Verdiane,,,
44.859392,7.7230191999999995,,,Hotel Posta 77,,,
44.859392,7.7230191999999995,,,Baita Fanti Ski e Bike,,,
44.859392,7.7230191999999995,,,Trattoria Pizzeria Rosticceria,,,
44.859392,7.7230191999999995,,,Best Western Hotel Rocca,,,
44.859392,7.7230191999999995,,,Hotel Metropol,,,
44.859392,7.7230191999999995,,,Osteria da Fortunata,,,
44.859392,7.7230191999999995,,,Trattoria San Carlo,,,
44.859392,7.7230191999999995,,,Idea Hotel,,,
44.859392,7.7230191999999995,,,Trattoria Del Camionista,,,
44.859392,7.7230191999999995,,,Trattoria Albergo Italia,,,
44.859392,7.7230191999999995,,,Trattoria La Rossa,,,
44.859392,7.7230191999999995,,,O' Purtus,,,
44.859392,7.7230191999999995,,,La Piccola Dimora,,,
44.859392,7.7230191999999995,,,Hotel Casa Arizzoli,,,
44.859392,7.7230191999999995,,,Hotel Ristorante Al Molino,,,
44.859392,7.7230191999999995,,,Trattoria da Nonna Pina,,,
44.859392,7.7230191999999995,,,Casamatta,,,
44.859392,7.7230191999999995,,,Hotel Firenze di Ventura Manuela,,,
44.859392,7.7230191999999995,,,Osteria Del Contadino,,,
44.859392,7.7230191999999995,,,Halanus Hotel & Resort,,,
44.859392,7.7230191999999995,,,Albergo Dimora Storica Ristorante Tre Re,,,
44.859392,7.7230191999999995,,,Bar Trattoria La Sosta,,,
44.859392,7.7230191999999995,,,Trattoria da Isuccio,,,
44.859392,7.7230191999999995,,,Veranda Barabasca,,,
44.859392,7.7230191999999995,,,Hotel Sigonella Inn,,,
44.859392,7.7230191999999995,,,Hotel San Mauro,,,
44.859392,7.7230191999999995,,,Osteria Al Cortile,,,
44.859392,7.7230191999999995,,,Ciao Bella,,,
44.859392,7.7230191999999995,,,Jolly Camping in Town,,,
44.859392,7.7230191999999995,,,Trattoria Campagna 1873 da Pierino,,,
44.859392,7.7230191999999995,,,Pensione al Pescatore,,,
44.859392,7.7230191999999995,,,l' Ora pizzeria ristorante,,,
44.859392,7.7230191999999995,,,MagiClem,,,
44.859392,7.7230191999999995,,,Trattoria La Corte,,,
44.859392,7.7230191999999995,,,Regina Major,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria Maryfrank,,,
44.859392,7.7230191999999995,,,Ristorante San Mauro,,,
44.859392,7.7230191999999995,,,Ristorante Forchetta D'oro cesate,,,
44.859392,7.7230191999999995,,,Circolo Strafossato,,,
44.859392,7.7230191999999995,,,Hotel Majestic,,,
44.859392,7.7230191999999995,,,Fattoria Pepe,,,
44.859392,7.7230191999999995,,,ANTICA LOCANDA DUE COLONNE,,,
